scene_id,im_id,obj_id,score,R,t,time
1,34,6,1.0,0.9356601238250732 0.34457188844680786 -0.07622689008712769 -0.25437405705451965 0.8082254528999329 0.5310986638069153 0.24461010098457336 -0.4775376319885254 0.8438743352890015,-11.327961459755898 -100.4079058766365 453.95639538764954,-1
1,34,8,1.0,0.9875877499580383 -0.1566954106092453 0.01082109659910202 -0.07611651718616486 -0.41719067096710205 0.9056259989738464 -0.13739296793937683 -0.8952087163925171 -0.42393946647644043,-189.4393116235733 -144.5479691028595 629.2324066162109,-1
1,37,1,1.0,0.5499229431152344 -0.8185508251190186 -0.16600967943668365 -0.4311039447784424 -0.10794548690319061 -0.8958219885826111 0.7153558731079102 0.5642005801200867 -0.41224220395088196,-188.02787363529205 -116.61743372678757 430.0956130027771,-1
1,37,3,1.0,0.9451881051063538 0.30161550641059875 -0.12508969008922577 -0.19028493762016296 0.8201112151145935 0.5396381616592407 0.26535069942474365 -0.4862569570541382 0.8325523138046265,-3.5879856441169977 -87.24009245634079 382.18802213668823,-1
1,37,6,1.0,0.5727900862693787 -0.8105491995811462 -0.12215373665094376 0.21951434016227722 0.29525819420814514 -0.9298581480979919 0.7897626757621765 0.5057989954948425 0.3470481336116791,-25.184499099850655 -132.80212879180908 556.8291544914246,-1
1,37,8,1.0,0.9828713536262512 -0.18420468270778656 0.005710451398044825 -0.08366549015045166 -0.4183814525604248 0.9044098258018494 -0.1642073690891266 -0.8893962502479553 -0.42662671208381653,-183.93196165561676 -145.93380689620972 623.2662200927734,-1
1,38,1,1.0,0.6769331097602844 -0.7229389548301697 -0.13827958703041077 -0.4044187366962433 -0.20834802091121674 -0.8905261754989624 0.6149855852127075 0.6587494611740112 -0.43340757489204407,-191.24378263950348 -116.9770210981369 435.99748611450195,-1
1,38,3,1.0,0.9179810285568237 0.3522248864173889 -0.18234209716320038 -0.18451263010501862 0.7862038612365723 0.5897785425186157 0.35109269618988037 -0.5077611207962036 0.7867100238800049,0.6389430491253734 -93.01982074975967 399.83314275741577,-1
1,38,6,1.0,-0.6554186940193176 -0.7060390114784241 0.26820728182792664 -0.18326008319854736 -0.19583660364151 -0.963360607624054 0.7326951026916504 -0.6805562376976013 -0.0010338034480810165,-39.67909887433052 -133.92627239227295 630.08713722229,-1
1,38,8,1.0,0.9839667677879333 -0.17815880477428436 0.008297386579215527 -0.08408758789300919 -0.4223812520503998 0.9025094509124756 -0.15728534758090973 -0.8887370824813843 -0.43059006333351135,-182.92514979839325 -146.82969450950623 624.697208404541,-1
1,40,1,1.0,-0.9873827695846558 -0.150709331035614 0.048601508140563965 -0.13305355608463287 0.6231769919395447 -0.770679771900177 0.08586128056049347 -0.7674224376678467 -0.6353665590286255,-197.14143872261047 -121.63614481687546 408.639132976532,-1
1,40,3,1.0,0.9395124912261963 0.31662309169769287 -0.13063731789588928 -0.2210487723350525 0.8518440127372742 0.47486770153045654 0.2616366744041443 -0.417266845703125 0.870307207107544,0.626038177870214 -87.2468575835228 381.07967376708984,-1
1,40,6,1.0,0.6107844710350037 -0.7837330102920532 -0.1127162054181099 0.1937761902809143 0.2859809100627899 -0.9384377598762512 0.7677193880081177 0.5513415336608887 0.3265414535999298,-20.126823335886 -134.28883254528046 555.4347634315491,-1
1,40,8,1.0,0.982742965221405 -0.18495921790599823 0.0025332248769700527 -0.08043158799409866 -0.41494423151016235 0.906284749507904 -0.16657453775405884 -0.890848696231842 -0.42266011238098145,-179.70991134643555 -149.21849966049194 623.3978271484375,-1
1,42,1,1.0,-0.9948777556419373 -0.08315350115299225 -0.057481084018945694 0.00694368127733469 0.5110722184181213 -0.8595098257064819 0.1008482277393341 -0.8555062413215637 -0.5078768730163574,-210.70131659507751 -126.35102868080139 448.65739345550537,-1
1,42,3,1.0,0.9463922381401062 0.30066096782684326 -0.11808779835700989 -0.20771940052509308 0.8464215397834778 0.4903296232223511 0.24737505614757538 -0.43951499462127686 0.8634998798370361,4.765819758176804 -87.64965087175369 382.71430134773254,-1
1,42,6,1.0,0.6354624032974243 -0.7633294463157654 -0.11625730991363525 0.19328440725803375 0.3030319809913635 -0.9331735372543335 0.7475484609603882 0.5705260634422302 0.3401051163673401,-14.535145834088326 -134.25405323505402 552.9759526252747,-1
1,42,8,1.0,0.3375295400619507 -0.297505646944046 -0.8930644392967224 -0.2916049659252167 -0.9351168274879456 0.20130378007888794 -0.8950086832046509 0.1924760788679123 -0.4023836553096771,-116.70085787773132 -86.02368086576462 427.5703728199005,-1
1,52,1,1.0,-0.9862923622131348 -0.1564471423625946 -0.05245649442076683 -0.0302699226886034 0.4840543866157532 -0.8745140433311462 0.16220705211162567 -0.8609387278556824 -0.4821547269821167,-186.55604124069214 -124.76017326116562 457.19367265701294,-1
1,52,3,1.0,-0.6651495695114136 0.7466982007026672 -0.004228897392749786 0.27445846796035767 0.23920944333076477 -0.9313706755638123 -0.6944413185119629 -0.6206615567207336 -0.36404767632484436,-324.1763412952423 -122.72357195615768 624.1637468338013,-1
1,52,4,1.0,-0.49409326910972595 -0.8185005187988281 0.2931363582611084 -0.2328757643699646 -0.20025113224983215 -0.9516661167144775 0.8376400470733643 -0.5384761691093445 -0.09166617691516876,0.3710452001541853 -112.22855001688004 581.1774134635925,-1
1,52,6,1.0,0.9470294713973999 0.29804882407188416 -0.11959142982959747 -0.19970311224460602 0.8381816148757935 0.5075138807296753 0.25150325894355774 -0.4567478597164154 0.853303849697113,30.745672062039375 -82.92825520038605 375.5088150501251,-1
1,52,8,1.0,-0.13145460188388824 0.9325913786888123 -0.3363187313079834 0.6827699542045593 0.3311675190925598 0.6513439416885376 0.7187497615814209 -0.14406394958496094 -0.6803286075592041,-139.76813852787018 -122.21118807792664 538.9882326126099,-1
1,81,1,1.0,0.04661490023136139 -0.989923894405365 0.13370709121227264 0.9648585915565491 0.009968388825654984 -0.2625803053379059 0.25860169529914856 0.14124858379364014 0.9556014537811279,-155.8123230934143 -90.11955559253693 347.45311737060547,-1
1,81,2,1.0,-0.9737277626991272 -0.21127359569072723 -0.08495695143938065 -0.018353872001171112 0.44468632340431213 -0.8954983353614807 0.22697430849075317 -0.870412290096283 -0.4368811249732971,-113.87467384338379 -131.56960904598236 468.8013195991516,-1
1,81,3,1.0,-0.935103714466095 -0.30128151178359985 -0.1865757554769516 0.1810438185930252 -0.858755350112915 0.47933533787727356 -0.30463775992393494 0.4144498407840729 0.8575705289840698,118.61307919025421 -58.61426517367363 351.0845899581909,-1
1,81,4,1.0,-0.7498888969421387 0.6613755226135254 0.01578175649046898 0.23591816425323486 0.28962618112564087 -0.9276094436645508 -0.618069052696228 -0.6918808221817017 -0.37321794033050537,-240.77342450618744 -127.36871838569641 621.4355230331421,-1
1,81,6,1.0,0.7360342741012573 -0.6381098628044128 0.22598515450954437 -0.219961017370224 -0.5411579012870789 -0.8116434216499329 0.6402114033699036 0.5476894974708557 -0.5386701226234436,119.82516199350357 -116.97346717119217 578.5784721374512,-1
1,81,8,1.0,0.09482145309448242 0.22228647768497467 -0.9703595638275146 -0.8966284394264221 0.4425697922706604 0.013765698298811913 0.43251174688339233 0.8687466979026794 0.24127349257469177,-53.159069269895554 -136.7536336183548 537.1134877204895,-1
